11/17/2020 10:21 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.05667	
//WLCalib: 261S 	-0.41000	
//WLCalib: 362S 	-0.47000	
//WLCalib: 484S 	0.00000	
//WLCalib: 529S 	0.07000	
//WLCalib: 823S 	-0.52000	
//QSpecEnd: 
237.5	7.864
238.0	7.156
238.5	6.499
239.0	5.930
239.5	5.482
240.0	5.136
240.5	4.864
241.0	4.646
241.5	4.460
242.0	4.294
242.5	4.136
243.0	3.988
243.5	3.858
244.0	3.754
244.5	3.674
245.0	3.612
245.5	3.563
246.0	3.520
246.5	3.485
247.0	3.458
247.5	3.440
248.0	3.430
248.5	3.427
249.0	3.431
249.5	3.441
250.0	3.456
250.5	3.473
251.0	3.497
251.5	3.524
252.0	3.556
252.5	3.595
253.0	3.637
253.5	3.688
254.0	3.743
254.5	3.796
255.0	3.853
255.5	3.921
256.0	3.997
256.5	4.081
257.0	4.160
257.5	4.228
258.0	4.289
258.5	4.336
259.0	4.378
259.5	4.416
260.0	4.449
260.5	4.482
261.0	4.513
261.5	4.540
262.0	4.569
262.5	4.599
263.0	4.629
263.5	4.668
264.0	4.714
264.5	4.771
265.0	4.834
265.5	4.894
266.0	4.952
266.5	5.008
267.0	5.062
267.5	5.115
268.0	5.170
268.5	5.223
269.0	5.270
269.5	5.315
270.0	5.357
270.5	5.398
271.0	5.437
271.5	5.476
272.0	5.512
272.5	5.546
273.0	5.579
273.5	5.610
274.0	5.635
274.5	5.660
275.0	5.683
275.5	5.707
276.0	5.729
276.5	5.748
277.0	5.761
277.5	5.768
278.0	5.771
278.5	5.765
279.0	5.753
279.5	5.731
280.0	5.705
280.5	5.674
281.0	5.631
281.5	5.578
282.0	5.506
282.5	5.424
283.0	5.327
283.5	5.227
284.0	5.123
284.5	5.023
285.0	4.922
285.5	4.814
286.0	4.694
286.5	4.562
287.0	4.416
287.5	4.262
288.0	4.104
288.5	3.947
289.0	3.786
289.5	3.622
290.0	3.449
290.5	3.260
291.0	3.058
291.5	2.851
292.0	2.652
292.5	2.467
293.0	2.288
293.5	2.112
294.0	1.939
294.5	1.777
295.0	1.626
295.5	1.490
296.0	1.371
296.5	1.265
297.0	1.175
297.5	1.092
298.0	1.013
298.5	0.939
299.0	0.867
299.5	0.800
300.0	0.738
300.5	0.681
301.0	0.625
301.5	0.567
302.0	0.511
302.5	0.459
303.0	0.412
303.5	0.370
304.0	0.333
304.5	0.298
305.0	0.268
305.5	0.241
306.0	0.214
306.5	0.191
307.0	0.169
307.5	0.150
308.0	0.133
308.5	0.117
309.0	0.104
309.5	0.093
310.0	0.084
310.5	0.078
311.0	0.071
311.5	0.065
312.0	0.059
312.5	0.055
313.0	0.050
313.5	0.048
314.0	0.045
314.5	0.043
315.0	0.042
315.5	0.041
316.0	0.042
316.5	0.042
317.0	0.040
317.5	0.037
318.0	0.035
318.5	0.033
319.0	0.032
319.5	0.030
320.0	0.029
320.5	0.027
321.0	0.028
321.5	0.027
322.0	0.025
322.5	0.023
323.0	0.022
323.5	0.022
324.0	0.020
324.5	0.018
325.0	0.020
325.5	0.019
326.0	0.018
326.5	0.018
327.0	0.018
327.5	0.015
328.0	0.015
328.5	0.013
329.0	0.011
329.5	0.010
330.0	0.012
330.5	0.010
331.0	0.009
331.5	0.010
332.0	0.009
332.5	0.008
333.0	0.008
333.5	0.007
334.0	0.006
334.5	0.006
335.0	0.009
335.5	0.008
336.0	0.008
336.5	0.010
337.0	0.010
337.5	0.008
338.0	0.006
338.5	0.005
339.0	0.003
339.5	0.000
340.0	0.000
340.5	0.000
341.0	-0.001
341.5	-0.002
342.0	-0.003
342.5	-0.004
343.0	-0.003
343.5	-0.003
344.0	-0.004
344.5	-0.004
345.0	-0.004
345.5	-0.003
346.0	-0.003
346.5	-0.003
347.0	-0.001
347.5	0.000
348.0	0.000
348.5	0.000
349.0	0.000
349.5	0.001
350.0	0.000



11/17/2020 10:24 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.05667	
//WLCalib: 261S 	-0.41000	
//WLCalib: 362S 	-0.47000	
//WLCalib: 484S 	0.00000	
//WLCalib: 529S 	0.07000	
//WLCalib: 823S 	-0.52000	
//QSpecEnd: 
220.0	4.122
220.5	4.963
221.0	5.881
221.5	6.946
222.0	7.998
222.5	9.074
223.0	10.232
223.5	11.581
224.0	13.154
224.5	14.944
225.0	16.778
225.5	18.370
226.0	19.782
226.5	20.862
227.0	21.677
227.5	22.502
228.0	23.141
228.5	23.474
229.0	23.807
229.5	24.012
230.0	23.963
230.5	23.625
231.0	23.095
231.5	22.262
232.0	21.332
232.5	20.238
233.0	19.113
233.5	18.043
234.0	16.975
234.5	15.926
235.0	14.867
235.5	13.874
236.0	12.913
236.5	11.988
237.0	11.086
237.5	10.192
238.0	9.330
238.5	8.513
239.0	7.816
239.5	7.269
240.0	6.856
240.5	6.530
241.0	6.261
241.5	6.028
242.0	5.818
242.5	5.621
243.0	5.428
243.5	5.259
244.0	5.123
244.5	5.017
245.0	4.934
245.5	4.864
246.0	4.810
246.5	4.764
247.0	4.729
247.5	4.705
248.0	4.693
248.5	4.690
249.0	4.698
249.5	4.713
250.0	4.733
250.5	4.760
251.0	4.793
251.5	4.831
252.0	4.879
252.5	4.937
253.0	5.005
253.5	5.076
254.0	5.153
254.5	5.229
255.0	5.311
